,text
211,Oh crap. The first death from the #coronavirus in the US. Washington State. That was out of nowhere. We knew of one… https://t.co/9iw1X8Czbw
212,Additional Stream - Trump speaks on #coronavirus developments as 5 new cases are reported on the West Coast and the… https://t.co/AsRaOXnAHK
213,Donald Trump calls #coronavirus “a political hoax”. Meanwhile Washington announces the first death in the United States from the virus.
214,"@TSindzinski If I could channel the #coronavirus panic, I'd say people are gettin' while the gettin's good. The vir… https://t.co/kHzm2P2IPQ"
215,@same71479 @AIPAC Can't believe #AIPAC is ignoring #coronavirus after the Israeli government warned all Israelis no… https://t.co/ctn9Yv57ou
216,@docrocktex26 l’m reading their is a first death from #CoronaVirus the state of Washington.
217,"2️⃣0️⃣ Coronavirus Video 20 |#coronavirusvideo  

#coronavirus #Wuhan #Vuhan #coronaviruswuhan #2019nCoV #COVID… https://t.co/RFazb1uVnt"
218,"Egypt is currently checking all passengers coming from #iran #italy #southkorea and #china for #Coronavirus
And… https://t.co/Um8M0i6AwL"
219,"Minus the potential death from the #coronavirus, 2020 is looking really promising over here in Margaret Land‼️"
220,@howroute Viruses are killers. #Coronavirus https://t.co/E0IGo92ZHE
221,#UPDATE Panic buying in the United States due to fears of #coronavirus #COVID19
222,First US Coronavirus death. So far our betters in government hide the relevant details. Was this person already suf… https://t.co/oP3i0UZSFo
223,"Fuck #China and their #coronavirus. Also, fuck @BillGates @gatesfoundation for funding @Pirbright_Inst in 2013 that… https://t.co/eA4264OVcF"
224,"@AnnCoulter #coronavirus  Trump's a pointless wall...no pun intended
@realDonaldTrump  Airborne virus can kill peop… https://t.co/L1YG2QFb6j"
225,"It's going to update the Nation on #coronavirus 🙄 Oh God, help us 🙏 #TrumpIsAnIdiot #TrumpsLiesAreSickening"
226,"@realDonaldTrump team is right. Being an asthma person, I'm very familiar with viruses thriving cooler low humidity… https://t.co/JIW2FT3OoC"
227,"@realDonaldTrump You are a dipshit.

#COVID19 #Coronavirus #CheetoinChief #MentalIllnessIsReal https://t.co/geYUAMozSJ"
228,We're so lucky to have a #LeapDay in 2020 to give us a bonus day of #Coronavirus anxiety.
229,"The #coronavirus is in WA and OR. #pacificnorthwest people take your precautions please. 

Via ⁦@AppleNews⁩ ⁦… https://t.co/bgvy87tckh"
230,costco... time to buy #COST #coronavirus https://t.co/hI3kNQDy1K
231,The end of day market rally Friday was a major Bull Trap. I am thinking now the markets will gap down again. And th… https://t.co/mmouUPxLqw
232,The media is the idiot during a fire running around and screaming FIRE while passing by the fire alarm &amp; fire extin… https://t.co/2HTGbYEUby
233,Thoughtful column by conservative Peggy Noonan. Perhaps #Trump will change his tune if more conservatives call him… https://t.co/Wz4dn54yj5
234,Man.... The media has people absolutely trippin about the #Coronavirus.
235,"@NPR @DarlingNikkiBlu I guess it wasn't a #hoax after all.

#Coronavid19 
#coronavirus

#Resistance

https://t.co/7d3R1NATom"
236,@AT_Trades Just make sure to cook the people to over 180 degrees to kill the #Coronavirus
237,Some hoax eh Trump you fucking moron!! #coronavirus https://t.co/26hj3no82S
238,Coronavirus Updates: First Death in U.S. Confirmed In Seattle Area - The New York Times #COVID19 #Coronavirus https://t.co/ATpJ1COzYn
239,'Absolutely dangerous': Biden slams Rump’s claim #coronavirus is a hoax  https://t.co/4PtrGNStE6
240,"Trump says the coronavirus is the Democrats’ ‘new hoax’ nothing else to worry about, therefore you may skip his int… https://t.co/QPgbro2KWi"
241,@brianstelter @FWhitfield @CNN *Could be tied to our local #coronavirus case in Washington State. Details: https://t.co/J2cfGyQrXa
242,"If you need to stock up on food do this
buy 25 lb bag of rice
buy 2 or 3 bags of dried beans 3-4 dollars
buy a rice… https://t.co/bviMZrRUQq"
